config,backend,dir,fstype,entries,commits,warmup,rep,boundaries_per_commit_x1000,clwb_lines,tsc_per_us,cyc_min,cyc_med,cyc_p90,cyc_p99,cyc_max,ns_min,ns_med,ns_p90,ns_p99,ns_max,total_boundary_cycles,total_prepare_cycles,wall_ns,boundary_share_x1000,wall_ns_per_commit,load1
file-block,file,"/home/users/u7599095",ext4,56,20000,2000,2,1000,0,2294,322602,379610,453496,1468288,3106060,140628,165479,197687,640055,1353993,8532569400,0,6129815217,606,306490,0.97
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,80000,2294,22,30,32,36,35912,9,13,13,15,15654,640742,5796782,95809395,29,4790,0.97
file-dax,file,"/mnt/pmem0.0/sean",ext4,1,20000,2000,3,1000,0,2294,2625882,2634710,2645014,2665480,3568660,1144673,1148522,1153013,1161935,1555649,52754269188,0,23124828271,994,1156241,0.97
file-block,file,"/home/users/u7599095",ext4,1,20000,2000,3,1000,0,2294,387680,450616,503898,1763654,2696820,168997,196432,219659,768811,1175597,9946453758,0,4825806957,898,241290,0.98
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,280000,2294,22,26,28,30,32,9,11,12,13,13,522088,20248274,282516272,32,14125,0.99
file-dax,file,"/mnt/pmem0.0/sean",ext4,8,20000,2000,3,1000,0,2294,2617448,2630676,2636868,2670806,3734010,1140997,1146763,1149462,1164257,1627728,52676885684,0,23183246782,990,1159162,0.99
file-block,file,"/home/users/u7599095",ext4,8,20000,2000,3,1000,0,2294,378830,415794,469520,1724208,57182622,165139,181252,204673,751616,24927036,9406082062,0,4909509345,835,245475,0.99
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,32,20000,2000,3,1000,1000000,2294,22,26,28,30,70,9,11,12,13,30,521642,72593646,1023550486,31,51177,0.99
file-dax,file,"/mnt/pmem0.0/sean",ext4,32,20000,2000,3,1000,0,2294,2620412,2628416,2632944,2657590,2960154,1142289,1145778,1147752,1158496,1290389,52588384150,0,23517115210,974,1175855,0.99
file-block,file,"/home/users/u7599095",ext4,32,20000,2000,3,1000,0,2294,322704,390634,452424,1593068,133468616,140673,170285,197220,694449,58181611,8969603840,0,5678469337,688,283923,1.00
pmem-dax,pmem,"/mnt/pmem0.0/sean",ext4,56,20000,2000,3,1000,1720000,2294,22,26,28,30,68,9,11,12,13,29,520412,124618270,1742257968,31,87112,1.00
file-dax,file,"/mnt/pmem0.0/sean",ext4,56,20000,2000,3,1000,0,2294,2620316,2628564,2640144,2657850,3676748,1142247,1145843,1150891,1158609,1602767,52614059476,0,23867988875,960,1193399,1.00
file-block,file,"/home/users/u7599095",ext4,56,20000,2000,3,1000,0,2294,323036,381428,454308,1465546,3651142,140817,166272,198041,638860,1591605,8554876030,0,6155378895,605,307768,1.00
